Type,Indicators,Description
sha256,c87e8d369a9718304e253ebe24da5267bf3a39f0b456c4191029b6be4bc04a42,"ZIP file: Dispatch of the APC HMLTV technical team"
url,hxxps://mailnepalarmymil.mods.email/dispachofapc-46703841?yui=,"Suspicious URL - Nepal Army themed"
md5,b8be125e6f496b0d5856fd4c2b59d778,"LNK file: Appendix.jpg.lnk"
md5,e10c8df203a7a195a44ee629fcf0c756,"LNK file: Bio Data Form.jpg.lnk"
md5,73a0170ea882989f6ffc3b4726a3ee56,"LNK file: Dispatch of the APC HMLTV technical team"
md5,d923a3adf955f76227c49b7544099ce0,"ZIP file: CATIC Training Day to Bangladesh"
url,hxxps://mailafdgovbd.163inc.org/b965f3-catictrainingdayforbd/hta?q=0,"Suspicious URL - Bangladesh Air Force themed"
md5,beccecea59ddc553597dd5099ba94f6b,"LNK file: CATIC Training Day to Bangladesh"
